region,sygehus,speciale,speciale2,status
Færøerne,"Landssjúkrahúsið, Torshavn, Færøerne",Intern medicin,Almen medicin,ledig
Færøerne,"Landssjúkrahúsið, Torshavn, Færøerne",Intern medicin,Almen medicin,ledig
Færøerne,"Landssjúkrahúsið, Torshavn, Færøerne",Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,optaget
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,optaget
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,optaget
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,optaget
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Kirurgi,Almen medicin,optaget
Hovedstaden,Amager og Hvidovre Hospital,Kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Amager og Hvidovre Hospital,Ortopædisk kirurgi,Almen medicin,ledig
Hovedstaden,Bispebjerg og Frederiksberg Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Bispebjerg og Frederiksberg Hospital,Intern medicin,Almen medicin,optaget
Hovedstaden,Bispebjerg og Frederiksberg Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Bispebjerg og Frederiksberg Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Bispebjerg og Frederiksberg Hospital,Intern medicin,Almen medicin,ledig
Hovedstaden,Bispebjerg og Frederiksberg Hospital,Intern medicin,Almen medicin,ledig
